links,id,neo_reference_id,name,nasa_jpl_url,absolute_magnitude_h,estimated_diameter,is_potentially_hazardous_asteroid,close_approach_data,is_sentry_object
{'self': 'http://www.neowsapp.com/rest/v1/neo/3754386?api_key=l7LiWkmiE89Dr3pjU9pMUo1BOMa032oyfOx5dxfe'},3754386,3754386,(2016 NV),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3754386,19.7,"{'kilometers': {'estimated_diameter_min': 0.3051792326, 'estimated_diameter_max': 0.6824015094}, 'meters': {'estimated_diameter_min': 305.1792325939, 'estimated_diameter_max': 682.4015094011}, 'miles': {'estimated_diameter_min': 0.1896295249, 'estimated_diameter_max': 0.4240245083}, 'feet': {'estimated_diameter_min': 1001.2442334633, 'estimated_diameter_max': 2238.8501681036}}",True,"[{'close_approach_date': '2016-07-05', 'close_approach_date_full': '2016-Jul-05 13:40', 'epoch_date_close_approach': 1467726000000, 'relative_velocity': {'kilometers_per_second': '9.0465464012', 'kilometers_per_hour': '32567.567044365', 'miles_per_hour': '20236.2196448722'}, 'miss_distance': {'astronomical': '0.3767797748', 'lunar': '146.5673323972', 'kilometers': '56365451.769159676', 'miles': '35023867.6510324888'}, 'orbiting_body': 'Earth'}]",False
{'self': 'http://www.neowsapp.com/rest/v1/neo/3776300?api_key=l7LiWkmiE89Dr3pjU9pMUo1BOMa032oyfOx5dxfe'},3776300,3776300,(2017 NK),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3776300,21.2,"{'kilometers': {'estimated_diameter_min': 0.1529519353, 'estimated_diameter_max': 0.3420109247}, 'meters': {'estimated_diameter_min': 152.9519353442, 'estimated_diameter_max': 342.0109247198}, 'miles': {'estimated_diameter_min': 0.095039897, 'estimated_diameter_max': 0.2125156703}, 'feet': {'estimated_diameter_min': 501.8108275547, 'estimated_diameter_max': 1122.0831222578}}",True,"[{'close_approach_date': '2016-07-05', 'close_approach_date_full': '2016-Jul-05 13:06', 'epoch_date_close_approach': 1467723960000, 'relative_velocity': {'kilometers_per_second': '17.0938160812', 'kilometers_per_hour': '61537.7378923376', 'miles_per_hour': '38237.1571920472'}, 'miss_distance': {'astronomical': '0.4178445485', 'lunar': '162.5415293665', 'kilometers': '62508654.446711695', 'miles': '38841076.788523591'}, 'orbiting_body': 'Earth'}]",False
{'self': 'http://www.neowsapp.com/rest/v1/neo/2164202?api_key=l7LiWkmiE89Dr3pjU9pMUo1BOMa032oyfOx5dxfe'},2164202,2164202,164202 (2004 EW),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2164202,20.8,"{'kilometers': {'estimated_diameter_min': 0.1838886721, 'estimated_diameter_max': 0.411187571}, 'meters': {'estimated_diameter_min': 183.8886720703, 'estimated_diameter_max': 411.1875710413}, 'miles': {'estimated_diameter_min': 0.1142630881, 'estimated_diameter_max': 0.2555000322}, 'feet': {'estimated_diameter_min': 603.309310875, 'estimated_diameter_max': 1349.040630575}}",True,"[{'close_approach_date': '2016-07-06', 'close_approach_date_full': '2016-Jul-06 09:25', 'epoch_date_close_approach': 1467797100000, 'relative_velocity': {'kilometers_per_second': '12.0130826082', 'kilometers_per_hour': '43247.0973893976', 'miles_per_hour': '26872.0644862065'}, 'miss_distance': {'astronomical': '0.142608323', 'lunar': '55.474637647', 'kilometers': '21333901.36507201', 'miles': '13256271.606773338'}, 'orbiting_body': 'Earth'}]",False
{'self': 'http://www.neowsapp.com/rest/v1/neo/2357022?api_key=l7LiWkmiE89Dr3pjU9pMUo1BOMa032oyfOx5dxfe'},2357022,2357022,357022 (1999 YG3),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2357022,19.05,"{'kilometers': {'estimated_diameter_min': 0.4116754573, 'estimated_diameter_max': 0.9205343072}, 'meters': {'estimated_diameter_min': 411.6754573069, 'estimated_diameter_max': 920.5343072066}, 'miles': {'estimated_diameter_min': 0.2558031906, 'estimated_diameter_max': 0.571993323}, 'feet': {'estimated_diameter_min': 1350.6413073509, 'estimated_diameter_max': 3020.1257764558}}",True,"[{'close_approach_date': '2016-07-06', 'close_approach_date_full': '2016-Jul-06 23:24', 'epoch_date_close_approach': 1467847440000, 'relative_velocity': {'kilometers_per_second': '17.0425431241', 'kilometers_per_hour': '61353.1552467398', 'miles_per_hour': '38122.4647142868'}, 'miss_distance': {'astronomical': '0.3191614363', 'lunar': '124.1537987207', 'kilometers': '47745871.056620681', 'miles': '29667908.5553841578'}, 'orbiting_body': 'Earth'}]",False
{'self': 'http://www.neowsapp.com/rest/v1/neo/2418849?api_key=l7LiWkmiE89Dr3pjU9pMUo1BOMa032oyfOx5dxfe'},2418849,2418849,418849 (2008 WM64),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2418849,20.47,"{'kilometers': {'estimated_diameter_min': 0.2140695897, 'estimated_diameter_max': 0.4786741544}, 'meters': {'estimated_diameter_min': 214.0695896707, 'estimated_diameter_max': 478.6741544192}, 'miles': {'estimated_diameter_min': 0.133016635, 'estimated_diameter_max': 0.297434238}, 'feet': {'estimated_diameter_min': 702.3280725753, 'estimated_diameter_max': 1570.4533127847}}",True,"[{'close_approach_date': '2016-07-07', 'close_approach_date_full': '2016-Jul-07 05:44', 'epoch_date_close_approach': 1467870240000, 'relative_velocity': {'kilometers_per_second': '18.4333056164', 'kilometers_per_hour': '66359.9002189817', 'miles_per_hour': '41233.4613332889'}, 'miss_distance': {'astronomical': '0.3287192569', 'lunar': '127.8717909341', 'kilometers': '49175700.660222803', 'miles': '30556363.4728605614'}, 'orbiting_body': 'Earth'}]",False
{'self': 'http://www.neowsapp.com/rest/v1/neo/3797861?api_key=l7LiWkmiE89Dr3pjU9pMUo1BOMa032oyfOx5dxfe'},3797861,3797861,(2018 BM3),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3797861,21.9,"{'kilometers': {'estimated_diameter_min': 0.1108038821, 'estimated_diameter_max': 0.2477650126}, 'meters': {'estimated_diameter_min': 110.8038821264, 'estimated_diameter_max': 247.7650126055}, 'miles': {'estimated_diameter_min': 0.068850319, 'estimated_diameter_max': 0.1539539936}, 'feet': {'estimated_diameter_min': 363.5298086356, 'estimated_diameter_max': 812.8773639568}}",True,"[{'close_approach_date': '2016-07-07', 'close_approach_date_full': '2016-Jul-07 14:37', 'epoch_date_close_approach': 1467902220000, 'relative_velocity': {'kilometers_per_second': '15.7604807159', 'kilometers_per_hour': '56737.7305771594', 'miles_per_hour': '35254.6193133466'}, 'miss_distance': {'astronomical': '0.3192420224', 'lunar': '124.1851467136', 'kilometers': '47757926.565532288', 'miles': '29675399.5012620544'}, 'orbiting_body': 'Earth'}]",False
{'self': 'http://www.neowsapp.com/rest/v1/neo/2152671?api_key=l7LiWkmiE89Dr3pjU9pMUo1BOMa032oyfOx5dxfe'},2152671,2152671,152671 (1998 HL3),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2152671,20.23,"{'kilometers': {'estimated_diameter_min': 0.2390864572, 'estimated_diameter_max': 0.5346135707}, 'meters': {'estimated_diameter_min': 239.0864571707, 'estimated_diameter_max': 534.6135707332}, 'miles': {'estimated_diameter_min': 0.148561391, 'estimated_diameter_max': 0.3321933691}, 'feet': {'estimated_diameter_min': 784.4044121439, 'estimated_diameter_max': 1753.9815874044}}",True,"[{'close_approach_date': '2016-07-08', 'close_approach_date_full': '2016-Jul-08 03:04', 'epoch_date_close_approach': 1467947040000, 'relative_velocity': {'kilometers_per_second': '7.3674136138', 'kilometers_per_hour': '26522.6890098297', 'miles_per_hour': '16480.1675128022'}, 'miss_distance': {'astronomical': '0.1984705861', 'lunar': '77.2050579929', 'kilometers': '29690776.938211607', 'miles': '18448993.2982178966'}, 'orbiting_body': 'Earth'}]",False
{'self': 'http://www.neowsapp.com/rest/v1/neo/2170086?api_key=l7LiWkmiE89Dr3pjU9pMUo1BOMa032oyfOx5dxfe'},2170086,2170086,170086 (2002 XR14),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2170086,17.9,"{'kilometers': {'estimated_diameter_min': 0.6991252322, 'estimated_diameter_max': 1.5632915441}, 'meters': {'estimated_diameter_min': 699.1252322458, 'estimated_diameter_max': 1563.2915440869}, 'miles': {'estimated_diameter_min': 0.4344161447, 'estimated_diameter_max': 0.97138403}, 'feet': {'estimated_diameter_min': 2293.7180269613, 'estimated_diameter_max': 5128.9094295021}}",True,"[{'close_approach_date': '2016-07-09', 'close_approach_date_full': '2016-Jul-09 12:33', 'epoch_date_close_approach': 1468067580000, 'relative_velocity': {'kilometers_per_second': '24.5904745851', 'kilometers_per_hour': '88525.7085063834', 'miles_per_hour': '55006.4325994247'}, 'miss_distance': {'astronomical': '0.2610348532', 'lunar': '101.5425578948', 'kilometers': '39050258.034482684', 'miles': '24264705.1732976792'}, 'orbiting_body': 'Earth'}]",False
{'self': 'http://www.neowsapp.com/rest/v1/neo/2216523?api_key=l7LiWkmiE89Dr3pjU9pMUo1BOMa032oyfOx5dxfe'},2216523,2216523,216523 (2001 HY7),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2216523,20.6,"{'kilometers': {'estimated_diameter_min': 0.2016299194, 'estimated_diameter_max': 0.4508582062}, 'meters': {'estimated_diameter_min': 201.6299194428, 'estimated_diameter_max': 450.8582061718}, 'miles': {'estimated_diameter_min': 0.1252869847, 'estimated_diameter_max': 0.2801502144}, 'feet': {'estimated_diameter_min': 661.5155049046, 'estimated_diameter_max': 1479.1936371367}}",True,"[{'close_approach_date': '2016-07-09', 'close_approach_date_full': '2016-Jul-09 03:12', 'epoch_date_close_approach': 1468033920000, 'relative_velocity': {'kilometers_per_second': '13.7945060863', 'kilometers_per_hour': '49660.2219107801', 'miles_per_hour': '30856.9306645067'}, 'miss_distance': {'astronomical': '0.1154017042', 'lunar': '44.8912629338', 'kilometers': '17263849.142690054', 'miles': '10727258.4276845852'}, 'orbiting_body': 'Earth'}]",False
{'self': 'http://www.neowsapp.com/rest/v1/neo/2453729?api_key=l7LiWkmiE89Dr3pjU9pMUo1BOMa032oyfOx5dxfe'},2453729,2453729,453729 (2011 BO24),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2453729,18.87,"{'kilometers': {'estimated_diameter_min': 0.4472547654, 'estimated_diameter_max': 1.0000920588}, 'meters': {'estimated_diameter_min': 447.2547654325, 'estimated_diameter_max': 1000.0920587679}, 'miles': {'estimated_diameter_min': 0.2779111409, 'estimated_diameter_max': 0.6214282026}, 'feet': {'estimated_diameter_min': 1467.3713246217, 'estimated_diameter_max': 3281.1420300879}}",True,"[{'close_approach_date': '2016-07-09', 'close_approach_date_full': '2016-Jul-09 21:24', 'epoch_date_close_approach': 1468099440000, 'relative_velocity': {'kilometers_per_second': '13.237623264', 'kilometers_per_hour': '47655.4437503813', 'miles_per_hour': '29611.23947923'}, 'miss_distance': {'astronomical': '0.1789908485', 'lunar': '69.6274400665', 'kilometers': '26776649.685092695', 'miles': '16638238.588941391'}, 'orbiting_body': 'Earth'}]",False
